method,query_idx,label_group,AP@5,n_relevant,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10
StrongFusion_global_crop_text_light_crop_phash_strong,30660,3947874382,0.5,2,1.0,0.5,0.3333333333333333,0.5,0.2,0.5,0.1,0.5
StrongFusion_global_crop_text_light_crop_phash_strong,30661,2462304931,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30662,3630992203,0.8,5,1.0,0.2,1.0,0.6,0.8,0.8,0.4,0.8
StrongFusion_global_crop_text_light_crop_phash_strong,30663,1575763518,1.0,33,1.0,0.030303030303030304,1.0,0.09090909090909091,1.0,0.15151515151515152,0.9,0.2727272727272727
StrongFusion_global_crop_text_light_crop_phash_strong,30664,640260500,1.0,10,1.0,0.1,1.0,0.3,1.0,0.5,0.8,0.8
StrongFusion_global_crop_text_light_crop_phash_strong,30665,934007288,0.5,2,1.0,0.5,0.3333333333333333,0.5,0.2,0.5,0.1,0.5
StrongFusion_global_crop_text_light_crop_phash_strong,30666,2923960299,0.8,7,1.0,0.14285714285714285,1.0,0.42857142857142855,0.8,0.5714285714285714,0.5,0.7142857142857143
StrongFusion_global_crop_text_light_crop_phash_strong,30667,908798147,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30668,1997111086,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30669,454862819,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30670,541208698,0.8333333333333333,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30671,4115969044,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30672,3361848919,1.0,7,1.0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.7142857142857143,0.7,1.0
